
France,buy a coffee,5,"'
Bonjour! As a helpful assistant, here are five most popular phrases you should learn to buy a coffee in France:

1. ""Un café, s'il vous plaît"" (One coffee, please) [ENGLISH TRANSLATION: One coffee, please]
2. ""Deux cafés, s'il vous plaît"" (Two coffees, please) [ENGLISH TRANSLATION: Two coffees, please]
3. ""Un expresso, s'il vous plaît"" (One espresso, please) [ENGLISH TRANSLATION: One espresso, please]
4. ""Pouvez-vous ajouter...?"" (Can you add...) [ENGLISH TRANSLATION: Can you add...]
5. ""Merci"" (Thank you) [ENGLISH TRANSLATION: Thank you]

Bon chance! (Good luck!) with your coffee purchases in France.",,,2024-02-25 14:10:28.417044
Germany,order food in the restaurant,5," 1. ""Bitte, eine Tasse Kaffee, bitte."" (Please, a cup of coffee, please.)
2. ""Ich möchte ein Menü, bitte."" (I would like a menu, please.)
3. ""Ich hätte gern eine Vegetarier-Option."" (I would like a vegetarian option.)
4. ""Können Sie mir dieses Gericht mit Ergnicken in Viertel bringen?"" (Could you please bring this dish cut into quarters?)
5. ""Garniert bitte mit Salat und Senf."" (Please serve it with salad and mustard.)",,,2024-02-25 14:12:11.239698
France,order food,5," 1. ""Je veux ordre une entrée, un plat principal et un désert."" (I want to order an appetizer, a main course and a dessert.)
2. ""Je vais préférer un menu légère."" (I'd rather have a light menu.)
3. ""Qu'est-ce que vous recommandez?"" (What do you recommend?)
4. ""Je suis allergique à [aliment]. "" (I am allergic to [food].)
5. ""Peut-être une boisson froide s'il- vous-plaît?"" (Perhaps a cold drink please?)

(1. ""I want to order an appetizer, a main course and a dessert."" - 2. ""I'd rather have a light menu."" - 3. ""What do you recommend?"" - 4. ""I am allergic to [food]."" - 5. ""Perhaps a cold drink please?"")",,,2024-02-25 14:47:51.472613
France,order food,5," 1. ""Je veux ordre une entrée, un plat principal et un désert."" (I want to order an appetizer, a main course and a dessert.)
2. ""Je vais préférer un menu légère."" (I'd rather have a light menu.)
3. ""Qu'est-ce que vous recommandez?"" (What do you recommend?)
4. ""Je suis allergique à [aliment]. "" (I am allergic to [food].)
5. ""Peut-être une boisson froide s'il- vous-plaît?"" (Perhaps a cold drink please?)

(1. ""I want to order an appetizer, a main course and a dessert."" - 2. ""I'd rather have a light menu."" - 3. ""What do you recommend?"" - 4. ""I am allergic to [food]."" - 5. ""Perhaps a cold drink please?"")",,,2024-02-25 14:50:05.621412
Germany,order food,5," 1. Ich möchte ein Starter, ein Gericht und ein Desert. (I would like an appetizer, a main course and a dessert.)
2. Ich werde lieber etwas Leichtes wählen. (I'd rather have something light.)
3. Was könnte Ihr empfehlen? (What would you recommend?)
4. Ich bin allergisch gegen [Essen]. (I am allergic to [food].)
5. Können Sie mir bitte etwas Kaltes servieren? (Could you please serve me something cold?)",,,2024-02-25 14:56:56.598626
Germany,find museum of the Fine A,5," 1. Ich möchte ein Starter, ein Hauptgericht und ein DESSERT beorden. [I want to order an appetizer, a main course and a dessert.]
2. Ich werde PREFERENCE zu einem leichten Menü haben. [I prefer a light menu.]
3. Was können Sie empfehlen? [What do you recommend?]
4. Ich bin ALLERGISCH auf (Allergie). [I am allergic to (allergy).]
5. Könnten Sie mir bitte ein kaltes Getränk servieren? [Could you please serve me a cold drink?]",,,2024-02-25 14:59:16.535153
Germany,find a museum of the Fine Arts,5," 1. Ein Museum der Schönen Künste suche ich. [I am looking for a museum of fine arts.]
2. Können Sie mir das nahegelegene Museum der Schönen Künste empfehlen? [Can you recommend the nearby museum of fine arts to me?]
3. Wo befindet sich das bekannteste Museum der Schönen Künste in der Stadt? [Where is the most famous museum of fine arts in the city?]
4. Gibt es ein kostenloses Museumskarte, um in alle Museen der Schönen Künste zu gelangen? [Is there a museum pass that allows entry to all museums of fine arts?]
5. Welche Ausstellungen finden sich aktuell im Museum der Schönen Künste statt? [What exhibitions are currently taking place at the museum of fine arts?]",,,2024-02-25 15:00:14.104885
Germany,ask for directions,5," 1. Ein Museum der Schönen Künste suche ich. [I am looking for a museum of fine arts.]
2. Können Sie mir das nahegelegene Museum der Schönen Künste empfehlen? [Can you recommend the nearby museum of fine arts to me?]
3. Wo befindet sich das bekannteste Museum der Schönen Künste in der Stadt? [Where is the most famous museum of fine arts in the city?]
4. Gibt es ein kostenloses Museumskarte, um in alle Museen der Schönen Künste zu gelangen? [Is there a museum pass that allows entry to all museums of fine arts?]
5. Welche Ausstellungen finden sich aktuell im Museum der Schönen Künste statt? [What exhibitions are currently taking place at the museum of fine arts?]",,,2024-02-25 15:00:25.447645
Italy,buy a dress,7," 1. Voglio acquistare una vestita. [I want to buy a dress.]
2. Questo abito mi va bene? [Does this dress suit me?]
3. Quanto costa questa vestita? [How much does this dress cost?]
4. Potrei provare quella vestita, per favore? [Can I try on that dress, please?]
5. Io preferirei una vestita con stoffa. [I prefer a dress made of fabric.]
6. Questa vestita è troppo grande/piccola per me. [This dress is too big/small for me.]
7. Posso provare un paio di calze/scarpe con questa vestita? [Can I try on some tights/shoes with this dress?]",,,2024-02-25 15:02:08.938751
France,order food,4," 1. Je veux commander un déjeuner complet, s'il vous plaît. [English: I would like to order a full meal, please.]
2. Je vais préférer un menu végétarien, merci. [English: I prefer a vegetarian menu, thank you.]
3. Quel est votre recommendation pour un plat principal délicieux? [English: What is your recommendation for a delicious main course?]
4. Je suis intoléré à la lait, s'il vous plaît préparer mon repas sans. [English: I am intolerant to milk, please prepare my meal without it.]
5. Peut-être un verre d'eau minérale, si cela vous plaît? [English: Maybe a glass of mineral water, please?]",,,2024-02-25 15:14:13.836736
